#time step 
#_initial values (t,x[0],x[1])
29.200000 -4.339375 -0.929074 
29.300000 -4.409987 -0.481945 
29.400000 -4.435593 -0.029706 
29.500000 -4.415911 0.423047 
29.600000 -4.351120 0.871710 
29.700000 -4.241858 1.311720 
29.800000 -4.089214 1.738600 
29.900000 -3.894721 2.148004 
30.000000 -3.660336 2.535762 
30.100000 -3.388423 2.897921 
30.200000 -3.081729 3.230786 
30.300000 -2.743356 3.530958 
30.400000 -2.376730 3.795368 
30.500000 -1.985566 4.021308 
30.600000 -1.573829 4.206457 
30.700000 -1.145699 4.348910 
30.800000 -0.705521 4.447192 
30.900000 -0.257768 4.500275 
31.000000 0.193007 4.507589 
31.100000 0.642219 4.469029 
31.200000 1.085295 4.384953 
31.300000 1.517719 4.256182 
31.400000 1.935082 4.083991 
31.500000 2.333126 3.870096 
31.600000 2.707782 3.616637 
31.700000 3.055218 3.326154 
31.800000 3.371875 3.001569 
31.900000 3.654503 2.646147 
32.000000 3.900195 2.263472 
32.100000 4.106417 1.857403 
32.200000 4.271032 1.432042 
32.300000 4.392325 0.991688 
32.400000 4.469018 0.540797 
32.500000 4.500285 0.083934 
32.600000 4.485760 -0.374271 
32.700000 4.425541 -0.829172 
32.800000 4.320190 -1.276150 
32.900000 4.170727 -1.710665 
33.000000 3.978620 -2.128296 
33.100000 3.745772 -2.524793 
33.200000 3.474501 -2.896112 
33.300000 3.167517 -3.238462 
33.400000 2.827892 -3.548343 
33.500000 2.459037 -3.822579 
33.600000 2.064659 -4.058351 
33.700000 1.648731 -4.253228 
33.800000 1.215446 -4.405189 
33.900000 0.769178 -4.512647 
34.000000 0.314439 -4.574461 
34.100000 -0.144169 -4.589953 
34.200000 -0.601999 -4.558912 
34.300000 -1.054408 -4.481596 
34.400000 -1.496799 -4.358734 
34.500000 -1.924675 -4.191515 
34.600000 -2.333677 -3.981576 
34.700000 -2.719634 -3.730989 
34.800000 -3.078601 -3.442241 
34.900000 -3.406905 -3.118205 
35.000000 -3.701173 -2.762114 
35.100000 -3.958377 -2.377530 
35.200000 -4.175857 -1.968305 
35.300000 -4.351353 -1.538546 
35.400000 -4.483025 -1.092571 
